Country,Revenue,Quantity,InvoiceNo
Australia,138453.81,84199,57
Austria,10198.68,4881,17
Bahrain,754.14,314,3
Belgium,41196.34,23237,98
Brazil,1143.6,356,1
Canada,3666.38,2763,6
Channel Islands,20440.54,9485,26
Cyprus,13502.85,6340,16
Czech Republic,826.74,671,2
Denmark,18955.34,8235,18
EIRE,283140.52,147281,288
European Community,1300.25,499,4
Finland,22546.08,10704,41
France,209625.37,112061,392
Germany,228678.4,119156,457
Greece,4760.52,1557,5
Hong Kong,15483.0,4713,11
Iceland,4310.0,2458,7
Israel,8129.41,4406,8
Italy,17483.24,8112,38
Japan,37416.369999999995,26016,19
Lebanon,1693.88,386,1
Lithuania,1661.06,652,4
Malta,2725.59,970,5
Netherlands,285446.34,200937,95
Norway,36165.44,19338,36
Poland,7334.65,3684,19
Portugal,33683.05,16231,58
RSA,1002.3100000000001,352,1
Saudi Arabia,145.92,80,1
Singapore,21279.29,5241,7
Spain,61558.56,27944,90
Sweden,38367.83,36078,36
Switzerland,57067.6,30618,54
USA,3580.39,2458,5
United Arab Emirates,1902.28,982,3
United Kingdom,9001744.094,4718327,18784
Unspecified,4740.94,3295,13
