CustomerID,Revenue,Quantity,InvoiceNo
12346.0,77183.6,74215,1
12347.0,4310.0,2458,7
12348.0,1797.24,2341,4
12349.0,1757.55,631,1
12350.0,334.4,197,1
12352.0,2506.04,536,8
12353.0,89.0,20,1
12354.0,1079.4,530,1
12355.0,459.4,240,1
12356.0,2811.43,1591,3
12357.0,6207.67,2708,1
12358.0,1168.06,248,2
12359.0,6310.03,1609,4
12360.0,2662.06,1165,3
12361.0,189.9,91,1
12362.0,5226.23,2229,10
12363.0,552.0,408,2
12364.0,1313.1,1506,4
12365.0,641.38,174,2
12367.0,168.9,173,1
12370.0,3541.94,2352,4
12371.0,1887.96,591,2
12372.0,1298.04,794,3
12373.0,364.6,197,1
12374.0,742.9300000000001,342,1
12375.0,457.5,178,2
12377.0,1628.12,944,2
12378.0,4008.62,2529,1
12379.0,852.24,407,2
12380.0,2724.81,1127,4
12381.0,1845.31,808,5
12383.0,1850.56,1532,5
12384.0,585.27,126,2
12386.0,401.9,354,2
12388.0,2780.66,1462,6
12390.0,549.84,353,1
12391.0,439.66,293,1
12393.0,1582.6000000000001,816,4
12394.0,1272.48,819,2
12395.0,3018.63,2118,12
12397.0,2409.9,1263,2
12398.0,1635.6599999999999,1394,1
12399.0,1108.65,1178,4
12401.0,84.3,11,1
12402.0,225.6,94,1
12403.0,427.7,96,1
12405.0,1710.39,857,1
12406.0,3415.3,1818,2
12407.0,1708.1200000000001,1416,5
12408.0,2888.55,1409,5
12409.0,11072.67,5551,3
12410.0,693.3299999999999,211,2
12412.0,1226.88,829,3
12413.0,758.1,286,3
12414.0,562.41,300,3
12415.0,124914.53,77670,21
12417.0,3649.1,1552,9
12418.0,668.58,407,1
12420.0,600.39,345,1
12421.0,807.04,484,4
12422.0,803.5600000000001,370,3
12423.0,1859.31,1339,8
12424.0,1760.96,740,2
12425.0,777.2,496,1
12426.0,582.73,258,1
12427.0,825.8,533,3
12428.0,7956.46,3536,9
12429.0,3750.4,1557,4
12430.0,256.4,117,1
12431.0,6419.95,2908,15
12432.0,5059.32,1801,5
12433.0,13375.87,11071,7
12434.0,806.14,394,2
12435.0,7829.89,2055,2
12436.0,509.01,211,1
12437.0,4951.41,2923,18
12438.0,2906.85,1180,2
12441.0,173.55,121,1
12442.0,172.06,182,1
12444.0,5005.46,1155,5
12445.0,133.4,62,1
12446.0,1002.3100000000001,352,1
12447.0,476.49,190,1
12448.0,449.45,243,1
12449.0,4067.29,1553,4
12450.0,197.88,128,2
12451.0,9035.52,6575,5
12452.0,430.57,185,2
12453.0,707.09,473,1
12454.0,3528.34,1006,1
12455.0,2466.86,2089,6
12456.0,3181.04,1633,3
12457.0,2363.23,844,7
12458.0,947.4,506,2
12461.0,826.88,287,2
12462.0,1189.59,536,2
12463.0,1344.78,776,4
12464.0,1212.05,112,8
12465.0,742.1899999999999,479,2
12468.0,729.5400000000001,366,2
12471.0,19788.65,8200,30
12472.0,6572.11,4148,7
12473.0,3928.0499999999997,2414,5
12474.0,7324.09,4833,18
12475.0,723.38,535,1
12476.0,6816.42,2408,11
12477.0,13219.74,3653,6
12478.0,680.99,236,1
12479.0,527.2,385,1
12480.0,3281.63,1707,4
12481.0,5579.82,3294,10
12483.0,2484.98,1110,8
12484.0,4527.32,2187,6
12488.0,1298.66,529,3
12489.0,334.93,105,1
12490.0,5417.93,3064,10
12491.0,460.40000000000003,260,1
12492.0,263.21000000000004,192,2
12493.0,433.74,207,2
12494.0,1246.1000000000001,707,7
12497.0,1043.1,1236,1
12498.0,403.70000000000005,159,3
12500.0,4257.82,2678,11
12501.0,2169.39,1783,1
12502.0,3723.87,820,5
12504.0,482.04999999999995,90,2
12506.0,73.5,23,1
12507.0,1304.81,905,3
12508.0,397.88,271,2
12509.0,176.5,55,1
12510.0,982.5699999999999,353,2
12512.0,132.18,96,2
12513.0,612.29,462,1
12514.0,1017.68,440,1
12515.0,383.7,131,1
12516.0,1312.06,875,2
12517.0,2481.6,1361,5
12518.0,2056.89,1318,5
12519.0,330.84,175,1
12520.0,2634.26,1439,5
12521.0,599.68,309,1
12522.0,192.72,194,2
12523.0,1789.77,865,11
12524.0,4485.72,3699,8
12526.0,1316.66,632,3
12527.0,348.71000000000004,234,3
12528.0,1933.48,756,6
12530.0,1662.28,913,4
12531.0,125.22,45,1
12532.0,349.83000000000004,153,1
12534.0,1089.18,651,1
12535.0,716.35,219,2
12536.0,12601.830000000002,2803,3
12538.0,363.95,191,1
12539.0,5568.35,2067,4
12540.0,13400.24,6685,17
12541.0,981.18,680,3
12544.0,372.7,136,1
12545.0,1000.39,523,2
12546.0,1161.5,633,2
12547.0,207.79999999999998,134,2
12548.0,95.19999999999999,49,1
12550.0,964.83,569,1
12551.0,168.0,100,1
12552.0,437.82,88,2
12553.0,3692.28,1965,10
12556.0,599.56,355,2
12557.0,11990.960000000001,4384,5
12558.0,269.96,196,1
12559.0,561.71,283,2
12560.0,2134.01,1110,3
12561.0,238.85,177,1
12562.0,3781.7400000000002,1779,7
12564.0,456.9,133,1
12565.0,145.92,80,1
12566.0,351.65,265,1
12567.0,9401.28,4305,10
12569.0,4124.69,1801,32
12571.0,519.61,523,2
12572.0,1020.42,452,2
12573.0,160.54000000000002,84,1
12574.0,218.45,61,1
12576.0,1315.83,967,5
12577.0,626.6,469,3
12578.0,2794.51,1196,2
12579.0,440.42,285,1
12580.0,415.7,238,1
12581.0,197.71,161,1
12582.0,511.36,300,2
12583.0,7281.38,5060,15
12584.0,2338.15,416,9
12585.0,2040.1,1279,2
12586.0,196.94000000000003,79,1
12587.0,144.0,51,1
12588.0,214.89999999999998,53,1
12589.0,646.68,306,2
12590.0,9864.26,4283,2
12591.0,452.84999999999997,228,1
12592.0,437.6,290,2
12593.0,418.09999999999997,206,3
12594.0,3338.2200000000003,1777,10
12596.0,618.27,474,2
12597.0,3811.22,2236,4
12598.0,3023.08,1964,8
12599.0,1032.58,956,7
12600.0,2599.04,774,10
12601.0,577.0600000000001,245,5
12602.0,153.12,162,1
12603.0,739.1999999999999,64,1
12604.0,254.18,201,2
12607.0,1579.51,1228,1
12609.0,1126.85,648,3
12610.0,2099.54,1049,5
12611.0,1193.32,846,1
12612.0,704.0400000000001,262,1
12613.0,3344.38,1644,5
12614.0,315.6,76,1
12615.0,2291.19,1376,4
12616.0,713.3,284,2
12617.0,352.98,210,1
12618.0,177.31,96,1
12619.0,3641.24,3378,9
12620.0,1339.41,1181,3
12621.0,13689.67,7440,20
12622.0,180.1,69,1
12623.0,305.1,191,1
12624.0,641.13,355,2
12625.0,2683.82,1612,2
12626.0,6620.48,3453,9
12627.0,4478.53,2752,7
12628.0,786.46,448,3
12630.0,1270.88,548,2
12631.0,640.5,236,1
12633.0,2163.98,1162,4
12635.0,1689.18,1172,2
12637.0,6002.9,2994,8
12638.0,671.69,577,1
12639.0,486.1,201,1
12640.0,1174.58,311,3
12641.0,185.9,72,1
12642.0,1013.26,552,3
12643.0,3344.64,1808,6
12644.0,477.91,325,1
12645.0,1775.18,1084,4
12646.0,1346.97,897,2
12647.0,3722.82,1432,12
12648.0,318.05,160,1
12649.0,623.51,586,3
12650.0,314.44,254,1
12651.0,114.0,78,1
12652.0,919.98,505,1
12653.0,2209.85,919,2
12654.0,601.98,264,5
12656.0,4051.17,1723,5
12657.0,1643.18,1044,4
12658.0,686.05,320,1
12659.0,91.68,105,1
12660.0,245.1,127,1
12662.0,3849.78,2058,11
12664.0,4881.88,1203,9
12665.0,63.0,37,1
12667.0,620.13,395,1
12668.0,3807.15,1634,4
12669.0,2744.0299999999997,1115,3
12670.0,2996.05,1397,5
12672.0,225.89999999999998,78,1
12673.0,610.52,351,2
12674.0,1970.6,1133,4
12676.0,1331.39,670,6
12678.0,17628.46,10923,12
12679.0,1113.02,554,4
12680.0,862.81,443,4
12681.0,13787.54,7536,22
12682.0,12279.82,5555,31
12683.0,8476.57,4987,15
12684.0,2283.63,1985,7
12685.0,2863.08,1523,6
12686.0,89.14,107,1
12688.0,4873.8099999999995,3028,1
12689.0,1247.61,628,2
12690.0,389.01,106,1
12691.0,1035.8,394,6
12693.0,855.91,255,4
12694.0,869.67,509,2
12695.0,582.1,220,4
12697.0,957.59,508,3
12700.0,4939.99,2967,4
12701.0,797.71,678,2
12702.0,219.0,53,1
12703.0,283.55,164,1
12704.0,2340.84,1006,8
12705.0,6868.29,3997,9
12707.0,603.42,256,1
12708.0,2712.91,1307,10
12709.0,9706.52,3912,15
12710.0,1149.02,851,3
12712.0,4396.13,1062,13
12713.0,848.55,508,1
12714.0,4708.86,3069,5
12715.0,343.36,192,1
12716.0,1053.49,708,2
12717.0,1030.98,506,2
12718.0,238.25,203,1
12719.0,644.95,374,2
12720.0,5781.73,4672,25
12721.0,2656.13,1959,6
12722.0,997.63,566,4
12723.0,725.07,434,5
12724.0,1031.41,445,4
12725.0,427.8,164,1
12726.0,2609.1,3143,7
12727.0,3980.7,2098,7
12728.0,836.33,419,4
12729.0,453.01,233,1
12731.0,18895.91,8437,12
12732.0,236.26000000000002,111,1
12733.0,383.95,137,1
12734.0,110.39999999999999,88,1
12735.0,779.5699999999999,368,2
12736.0,234.0,173,1
12738.0,155.35,148,1
12739.0,1013.04,486,2
12740.0,427.6,342,1
12743.0,540.13,315,2
12744.0,21279.29,5241,7
12747.0,4196.01,1275,11
12748.0,33053.19,25288,210
12749.0,4090.88,1471,5
12750.0,275.88,137,1
12752.0,4366.78,2262,1
12753.0,21429.39,11421,6
12754.0,3010.74,6481,3
12755.0,3811.95,1491,2
12756.0,112.07999999999998,144,1
12757.0,7834.650000000001,2395,13
12758.0,2791.59,2135,2
12759.0,1531.44,902,3
12762.0,1898.52,1227,2
12763.0,494.08,316,2
12764.0,1693.88,386,1
12766.0,6989.63,3646,7
12769.0,1143.6,356,1
12770.0,1351.45,743,1
12772.0,892.47,556,1
12775.0,1386.04,877,5
12778.0,822.23,825,6
12779.0,3981.36,2024,8
12781.0,826.74,671,2
12782.0,2330.92,1086,5
12783.0,2225.91,624,6
12784.0,532.8199999999999,280,2
12785.0,311.95,131,1
12787.0,463.66,261,3
12789.0,91.85,4,1
12790.0,324.92,166,1
12791.0,192.60000000000002,97,1
12792.0,400.53999999999996,217,1
12793.0,545.48,295,2
12794.0,860.41,592,2
12795.0,430.48,68,1
12797.0,254.03,118,1
12798.0,6977.04,5256,3
12802.0,427.58,314,1
12808.0,483.65000000000003,188,3
12809.0,489.31,220,1
12811.0,514.85,230,3
12812.0,229.64000000000001,164,1
12814.0,125.92,49,1
12815.0,1063.46,379,2
12816.0,572.2,128,2
12817.0,166.04,53,1
12818.0,1542.08,929,1
12820.0,942.34,722,4
12821.0,92.72,70,1
12822.0,948.88,550,2
12823.0,1759.5,230,5
12824.0,397.12,232,1
12826.0,1474.72,1058,7
12827.0,430.15000000000003,197,3
12828.0,1018.71,494,6
12829.0,293.0,376,2
12830.0,6814.64,9848,6
12831.0,215.05,135,1
12832.0,383.03,195,2
12833.0,417.38,156,1
12834.0,312.38,110,1
12836.0,2610.36,1062,4
12837.0,134.1,24,1
12838.0,671.95,355,2
12839.0,5591.42,3807,14
12840.0,2726.77,1511,4
12841.0,3991.58,2720,25
12842.0,1118.99,547,2
12843.0,1702.26,781,8
12844.0,325.96000000000004,125,2
12845.0,354.09,204,4
12847.0,843.64,873,1
12849.0,1010.29,597,2
12851.0,131.81,106,1
12852.0,311.55,149,1
12853.0,1957.1000000000001,800,6
12854.0,1316.25,626,3
12855.0,38.1,30,1
12856.0,2170.78,1076,6
12857.0,1106.4,343,2
12863.0,521.2,188,1
12864.0,147.12,216,1
12865.0,1568.23,925,2
12866.0,559.12,171,1
12867.0,4009.34,4284,7
12868.0,1607.0600000000002,928,6
12871.0,380.64,200,2
12872.0,599.97,319,2
12873.0,374.0,128,1
12875.0,343.2300000000001,2019,2
12876.0,2218.02,1941,2
12877.0,1535.77,1178,12
12878.0,854.99,547,2
12879.0,573.22,370,3
12881.0,298.0,21,1
12882.0,1463.04,246,2
12883.0,703.47,196,4
12884.0,309.05,43,1
12885.0,1175.22,655,3
12886.0,1378.4,770,2
12888.0,354.12,76,2
12890.0,376.71999999999997,256,1
12891.0,331.0,950,3
12893.0,176.55,90,1
12895.0,372.8,210,2
12897.0,216.5,110,2
12901.0,17654.54,23075,28
12902.0,138.68,66,1
12904.0,496.06,294,2
12906.0,2919.81,1749,5
12908.0,750.0,1200,2
12909.0,2178.67,1280,5
12910.0,3075.04,1692,8
12912.0,1662.3,670,5
12913.0,2483.63,1419,5
12915.0,363.65,93,2
12916.0,2944.95,1083,4
12917.0,594.0,120,1
