Description,StockCode,Revenue,Quantity,InvoiceNo
 4 PURPLE FLOCK DINNER CANDLES,72800B,285.7,142,38
 50'S CHRISTMAS GIFT BAG LARGE,23437,2343.63,1915,129
 DOLLY GIRL BEAKER,23345,2886.25,2451,174
 I LOVE LONDON MINI BACKPACK,23391,1624.02,388,86
 I LOVE LONDON MINI RUCKSACK,23391,4.15,1,1
 NINE DRAWER OFFICE TIDY,23472,894.42,58,33
 OVAL WALL MIRROR DIAMANTE ,22167,2391.12,237,157
 RED SPOT GIFT BAG LARGE,23438,2089.92,1713,103
 SET 2 TEA TOWELS I LOVE LONDON ,22900,8082.05,2783,269
 SPACEBOY BABY GIFT SET,23007,7741.749999999999,498,184
 TOADSTOOL BEDSIDE LIGHT ,23079,17.9,2,1
 TRELLIS COAT RACK,23411,1118.6100000000001,227,56
*Boombox Ipod Classic,21120,16.98,1,1
*USB Office Mirror Ball,20954,16.94,2,2
10 COLOUR SPACEBOY PEN,22418,5585.45,6564,318
12 COLOURED PARTY BALLOONS,22436,1398.51,2134,163
12 DAISY PEGS IN WOOD BOX,21448,592.6199999999999,344,77
12 EGG HOUSE PAINTED WOOD,22282,2378.52,149,99
12 HANGING EGGS HAND PAINTED,23442,83.2,40,7
12 IVORY ROSE PEG PLACE SETTINGS,21447,1478.1,969,148
12 MESSAGE CARDS WITH ENVELOPES,22906,2947.87,1733,251
12 PENCIL SMALL TUBE WOODLAND,20973,3210.27,4497,355
12 PENCILS SMALL TUBE RED RETROSPOT,20975,4383.27,6633,362
12 PENCILS SMALL TUBE SKULL,20974,4527.43,6976,355
12 PENCILS TALL TUBE POSY,20984,1166.07,3785,170
12 PENCILS TALL TUBE RED RETROSPOT,20983,2374.81,2737,268
12 PENCILS TALL TUBE SKULLS,20982,1880.6699999999998,2151,256
12 PENCILS TALL TUBE WOODLAND,20981,1740.57,1974,249
12 PINK HEN+CHICKS IN BASKET,84461,104.55,41,14
12 PINK ROSE PEG PLACE SETTINGS,21445,267.5,214,21
12 RED ROSE PEG PLACE SETTINGS,21446,630.92,449,105
15 PINK FLUFFY CHICKS IN BOX,84465,29.5,10,7
15CM CHRISTMAS GLASS BALL 20 LIGHTS,85048,10910.61,1359,261
16 PC CUTLERY SET PANTRY DESIGN,23253,63.8,4,1
16 PIECE CUTLERY SET PANTRY DESIGN,23253,3785.06,254,69
18PC WOODEN CUTLERY SET DISPOSABLE,23124,751.38,567,43
2 DAISIES HAIR COMB,90168,52.56,18,12
2 PICTURE BOOK EGGS EASTER BUNNY,21458,256.54,182,36
2 PICTURE BOOK EGGS EASTER CHICKS,21456,222.22,171,25
2 PICTURE BOOK EGGS EASTER DUCKS,21457,165.89,124,25
20 DOLLY PEGS RETROSPOT,22567,3251.6,2448,222
200 BENDY SKULL STRAWS,22316,742.37,660,55
200 RED + WHITE BENDY STRAWS,22315,1218.93,916,172
3 BIRDS CANVAS SCREEN,84731,2.04,2,2
3 BLACK CATS W HEARTS BLANK CARD,84206A,4.5600000000000005,24,3
3 DRAWER ANTIQUE WHITE WOOD CABINET,82486,6457.94,734,202
3 GARDENIA MORRIS BOXED CANDLES,85034A,911.4,498,74
3 GARDENIA MORRIS BOXED CANDLES,85034a,24.869999999999997,3,3
3 HEARTS HANGING DECORATION RUSTIC,22158,11797.380000000001,3413,303
3 HOOK HANGER MAGIC GARDEN,22244,3276.2099999999996,1703,159
3 HOOK PHOTO SHELF ANTIQUE WHITE,22171,13611.81,1794,382
3 PIECE SPACEBOY COOKIE CUTTER SET,22964,5472.6900000000005,2624,378
3 PINK HEN+CHICKS IN BASKET,84462,15.0,12,6
3 RAFFIA RIBBONS 50'S CHRISTMAS ,23434,1884.17,2095,199
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,23435,732.4200000000001,824,99
3 ROSE MORRIS BOXED CANDLES,85034C,1800.0,1129,158
3 STRIPEY MICE FELTCRAFT,22150,5907.84,3021,468
3 TIER CAKE TIN GREEN AND CREAM,22839,6981.67,445,201
3 TIER CAKE TIN RED AND CREAM,22838,9765.11,689,168
3 TIER SWEETHEART GARDEN SHELF,22824,1938.2500000000002,55,43
3 TRADITIONAL COOKIE CUTTERS  SET,22965,304.20000000000005,162,4
3 TRADITIONAl BISCUIT CUTTERS  SET,22965,2606.4100000000003,1209,232
3 WHITE CHOC MORRIS BOXED CANDLES,85034B,1628.78,945,120
3 WHITE CHOC MORRIS BOXED CANDLES,85034b,8.29,1,1
3 WICK CHRISTMAS BRIAR CANDLE ,72815,15.97,3,2
36 DOILIES DOLLY GIRL,22949,1347.8899999999999,911,90
36 DOILIES VINTAGE CHRISTMAS,22950,7060.28,5171,177
36 FOIL HEART CAKE CASES,22956,3983.3900000000003,2050,198
36 FOIL STAR CAKE CASES ,22955,2053.3500000000004,1184,135
36 PENCILS TUBE POSY,20980,76.91,79,20
36 PENCILS TUBE RED RETROSPOT,20979,4723.7300000000005,3734,325
36 PENCILS TUBE SKULLS,20978,2395.05,1795,263
36 PENCILS TUBE WOODLAND,20977,2328.64,1739,185
3D CHRISTMAS STAMPS STICKERS ,22731,1536.24,1172,143
3D DOG PICTURE PLAYING CARDS,84558A,987.4100000000001,333,81
3D DOG PICTURE PLAYING CARDS,84558a,29.310000000000002,5,5
3D HEARTS  HONEYCOMB PAPER GARLAND,21188,1021.9000000000001,326,50
3D SHEET OF CAT STICKERS,84559B,217.29,237,55
3D SHEET OF CAT STICKERS,84559b,38.33,23,20
3D SHEET OF DOG STICKERS,84559A,375.60999999999996,397,94
3D SHEET OF DOG STICKERS,84559a,48.379999999999995,29,22
3D TRADITIONAL CHRISTMAS STICKERS,22733,2095.08,1583,197
3D VINTAGE CHRISTMAS STICKERS ,22732,2162.75,1645,188
4 BLUE DINNER CANDLES SILVER FLOCK,72800D,226.67,87,31
4 BURGUNDY WINE DINNER CANDLES,72801G,57.46,45,13
4 GOLD FLOCK CHRISTMAS BALLS,35833G,6.72,2,1
4 IVORY DINNER CANDLES SILVER FLOCK,72800E,1205.64,538,136
4 LAVENDER BOTANICAL DINNER CANDLES,21615,1347.92,891,135
4 LILY  BOTANICAL DINNER CANDLES,21617,1009.26,525,102
4 PEAR BOTANICAL DINNER CANDLES,21616,1288.34,822,138
4 PINK DINNER CANDLE SILVER FLOCK,72800C,259.71999999999997,130,35
4 PINK FLOCK CHRISTMAS BALLS,35833P,88.47,49,22
4 ROSE PINK DINNER CANDLES,72801C,180.65,145,19
4 ROSE PINK DINNER CANDLES,72801c,95.94,39,25
4 SKY BLUE DINNER CANDLES,72801D,113.21,75,18
4 SKY BLUE DINNER CANDLES,72801d,184.7,75,44
4 TRADITIONAL SPINNING TOPS,22620,6782.21,4890,484
4 VANILLA BOTANICAL CANDLES,21619,1476.4,974,164
4 WILDFLOWER BOTANICAL CANDLES,21618,768.37,404,91
5 HOOK HANGER MAGIC TOADSTOOL,22242,994.3799999999999,640,34
5 HOOK HANGER RED MAGIC TOADSTOOL,22243,4751.639999999999,3098,131
5 STRAND GLASS NECKLACE AMBER,90199D,37.620000000000005,6,6
5 STRAND GLASS NECKLACE AMETHYST,90199B,56.59,9,8
5 STRAND GLASS NECKLACE BLACK,90199A,69.63,11,6
5 STRAND GLASS NECKLACE CRYSTAL,90199C,120.28999999999999,19,10
50'S CHRISTMAS PAPER GIFT BAG,23375,1100.6899999999998,1342,103
50CM METAL STRING WITH  7 CLIPS,47481,171.79,225,23
6 CHOCOLATE LOVE HEART T-LIGHTS,85038,2171.26,1061,142
6 EGG HOUSE PAINTED WOOD,22283,2726.43,299,155
6 GIFT TAGS 50'S CHRISTMAS ,23354,3429.3999999999996,3740,322
6 GIFT TAGS VINTAGE CHRISTMAS ,23353,3510.0499999999997,4007,327
