Country,Total_Revenue,Total_Orders,Unique_Customers,AOV,Revenue_per_Customer
Australia,138453.81,57,9,2429.0142105263158,15383.756666666666
Austria,10198.68,17,11,599.9223529411765,927.1527272727272
Belgium,41196.34,98,25,420.3708163265306,1647.8536
Channel Islands,20440.54,26,9,786.1746153846154,2271.1711111111113
Cyprus,13502.85,16,8,843.928125,1687.85625
Denmark,18955.34,18,9,1053.0744444444445,2106.148888888889
EIRE,265262.46,260,3,1020.2402307692308,88420.82
Finland,22546.08,41,12,549.9043902439025,1878.8400000000001
France,208934.31,389,87,537.1061953727507,2401.543793103448
Germany,228678.4,457,94,500.39037199124726,2432.748936170213
Italy,17483.24,38,14,460.08526315789476,1248.8028571428572
Japan,37416.369999999995,19,8,1969.282631578947,4677.046249999999
Netherlands,285446.34,95,9,3004.698315789474,31716.260000000002
Norway,36165.44,36,10,1004.5955555555556,3616.5440000000003
Poland,7334.65,19,6,386.03421052631575,1222.4416666666666
Portugal,33375.840000000004,57,19,585.541052631579,1756.623157894737
Spain,61558.56,90,30,683.9839999999999,2051.9519999999998
Sweden,38367.83,36,8,1065.7730555555556,4795.97875
Switzerland,56443.95,51,21,1106.7441176470588,2687.807142857143
United Kingdom,7285024.644,16649,3921,437.56529785572707,1857.9506870696252
