CustomerID,Total_Revenue,Total_Orders,Total_Units,First_Purchase,Last_Purchase,AOV,Revenue_Rank,Cumulative_Revenue,Cumulative_Revenue_%,Customer_%
14646.0,280206.02,74,197491,2010-12-20 10:09:00,2011-12-08 12:12:00,3786.567837837838,1,280206.02,3.1529136238619846,0.023046784973496198
18102.0,259657.3,60,64124,2010-12-07 16:42:00,2011-12-09 11:50:00,4327.621666666667,2,539863.3200000001,6.074610447881748,0.046093569946992395
17450.0,194390.79,46,69973,2010-12-07 09:23:00,2011-12-01 13:29:00,4225.886739130435,3,734254.1100000001,8.261920235673937,0.06914035492048859
16446.0,168472.5,2,80997,2011-05-18 09:52:00,2011-12-09 09:15:00,84236.25,4,902726.6100000001,10.157594141952211,0.09218713989398479
14911.0,143711.17,201,80490,2010-12-01 14:05:00,2011-12-08 15:54:00,714.980945273632,5,1046437.7800000001,11.774650427160308,0.11523392486748099
12415.0,124914.53,21,77670,2011-01-06 11:12:00,2011-11-15 14:22:00,5948.310952380953,6,1171352.31,13.180204538579174,0.13828070984097718
14156.0,117210.08,55,57768,2010-12-03 11:48:00,2011-11-30 10:54:00,2131.0923636363636,7,1288562.3900000001,14.499067202864376,0.16132749481447337
17511.0,91062.38,31,64549,2010-12-01 10:19:00,2011-12-07 10:12:00,2937.496129032258,8,1379624.77,15.523712635261926,0.18437427978796958
16029.0,80850.84,63,40108,2010-12-01 09:57:00,2011-11-01 10:27:00,1283.3466666666666,9,1460475.61,16.43345652633424,0.20742106476146577
12346.0,77183.6,1,74215,2011-01-18 10:01:00,2011-01-18 10:01:00,77183.6,10,1537659.2100000002,17.30193616848723,0.23046784973496198
16684.0,66653.56,28,50255,2010-12-16 17:34:00,2011-12-05 14:06:00,2380.4842857142858,11,1604312.7700000003,18.0519304669784,0.2535146347084582
14096.0,65164.79,17,16352,2011-08-30 10:49:00,2011-12-05 17:17:00,3833.2229411764706,12,1669477.5600000003,18.785172936883598,0.27656141968195436
13694.0,65039.62,50,63312,2010-12-01 12:12:00,2011-12-06 09:32:00,1300.7924,13,1734517.1800000004,19.517006978096582,0.29960820465545057
15311.0,60632.75,91,38147,2010-12-01 09:41:00,2011-12-09 12:00:00,666.2939560439561,14,1795149.9300000004,20.19925435995946,0.32265498962894673
13089.0,58762.08,97,31025,2010-12-05 10:27:00,2011-12-07 09:02:00,605.7946391752578,15,1853912.0100000005,20.86045272607047,0.34570177460244295
17949.0,58510.48,45,30546,2010-12-03 13:12:00,2011-12-08 18:46:00,1300.232888888889,16,1912422.4900000005,21.518820057117477,0.36874855957593916
15769.0,56252.72,26,29672,2010-12-03 15:16:00,2011-12-02 13:52:00,2163.566153846154,17,1968675.2100000004,22.151782786709415,0.3917953445494353
15061.0,54534.14,48,28920,2010-12-02 15:19:00,2011-12-06 12:06:00,1136.1279166666666,18,2023209.3500000003,22.76540783649099,0.41484212952293154
14298.0,51527.3,44,58343,2010-12-14 12:59:00,2011-12-01 13:12:00,1171.075,19,2074736.6500000004,23.34519954178991,0.4378889144964277
14088.0,50491.81,13,12665,2011-01-21 13:07:00,2011-11-29 16:16:00,3883.9853846153846,20,2125228.4600000004,23.913339782468718,0.46093569946992397
15749.0,44534.3,3,18028,2011-01-11 12:55:00,2011-04-18 13:20:00,14844.766666666668,21,2169762.7600000002,24.414445366135894,0.4839824844434202
12931.0,42055.96,15,28004,2010-12-17 09:45:00,2011-11-18 12:39:00,2803.730666666667,22,2211818.72,24.887664354252546,0.5070292694169164
17841.0,40519.84,124,22834,2010-12-01 14:41:00,2011-12-08 12:07:00,326.77290322580643,23,2252338.56,25.343598725586563,0.5300760543904126
15098.0,39916.5,3,121,2011-06-10 15:22:00,2011-06-10 15:33:00,13305.5,24,2292255.06,25.792744238830306,0.5531228393639087
13798.0,37153.85,57,23948,2010-12-02 17:24:00,2011-12-08 15:51:00,651.8219298245614,25,2329408.91,26.21080406439696,0.5761696243374049
16013.0,37130.6,47,15536,2010-12-03 13:09:00,2011-12-06 10:36:00,790.0127659574467,26,2366539.5100000002,26.6286022780191,0.5992164093109011
16422.0,34684.4,51,33704,2010-12-05 15:35:00,2011-11-22 14:00:00,680.086274509804,27,2401223.91,27.0188755394411,0.6222631942843974
15838.0,33643.08,19,18368,2010-12-07 11:26:00,2011-11-28 14:00:00,1770.6884210526316,28,2434866.99,27.397431736344647,0.6453099792578935
12748.0,33053.19,210,25288,2010-12-01 12:48:00,2011-12-09 12:20:00,157.39614285714288,29,2467920.18,27.769350416261297,0.6683567642313897
17404.0,31906.82,15,32748,2010-12-14 13:28:00,2011-12-05 16:26:00,2127.1213333333335,30,2499827.0,28.12836999575538,0.6914035492048859
17389.0,31833.68,34,7612,2011-01-12 15:48:00,2011-12-09 09:38:00,936.2847058823529,31,2531660.68,28.48656659470662,0.7144503341783821
13098.0,28882.44,28,15968,2011-01-26 13:46:00,2011-12-08 14:14:00,1031.5157142857142,32,2560543.12,28.811555467416696,0.7374971191518783
14680.0,28754.11,16,13476,2010-12-03 12:05:00,2011-11-14 16:59:00,1797.131875,33,2589297.23,29.135100354714353,0.7605439041253745
13081.0,28337.38,11,19160,2010-12-03 17:20:00,2011-11-28 10:54:00,2576.1254545454544,34,2617634.61,29.45395614327505,0.7835906890988706
13408.0,28117.04,62,16232,2010-12-01 10:39:00,2011-12-08 09:05:00,453.5006451612903,35,2645751.65,29.770332638250686,0.806637474072367
17857.0,26879.04,23,19256,2010-12-09 11:35:00,2011-12-05 13:13:00,1168.6539130434783,36,2672630.69,30.072779000439233,0.8296842590458631
16333.0,26626.8,22,32184,2011-02-03 10:50:00,2011-12-02 12:19:00,1210.3090909090909,37,2699257.4899999998,30.37238712620272,0.8527310440193593
13777.0,25977.16,33,12897,2010-12-01 16:01:00,2011-12-09 12:25:00,787.1866666666666,38,2725234.65,30.66468542041226,0.8757778289928554
12753.0,21429.39,6,11421,2010-12-12 11:44:00,2011-11-17 10:52:00,3571.565,39,2746664.04,30.905811630627344,0.8988246139663517
12744.0,21279.29,7,5241,2011-01-25 13:26:00,2011-10-19 11:18:00,3039.8985714285714,40,2767943.33,31.145248896632943,0.9218713989398479
16210.0,21086.3,18,7559,2010-12-01 12:27:00,2011-12-08 12:36:00,1171.461111111111,41,2789029.63,31.382514614717227,0.944918183913344
17675.0,20374.28,31,8360,2010-12-07 13:22:00,2011-12-08 18:03:00,657.2348387096774,42,2809403.9099999997,31.611768593587414,0.9679649688868404
17381.0,20275.61,29,25649,2010-12-02 12:58:00,2011-12-01 11:59:00,699.1589655172414,43,2829679.5199999996,31.83991232512149,0.9910117538603365
12471.0,19788.65,30,8200,2010-12-10 09:35:00,2011-12-07 15:43:00,659.6216666666667,44,2849468.1699999995,32.06257672106429,1.0140585388338328
15039.0,19766.59,47,9131,2010-12-06 11:26:00,2011-11-30 11:31:00,420.5657446808511,45,2869234.7599999993,32.28499289509329,1.037105323807329
12731.0,18895.91,12,8437,2010-12-10 10:56:00,2011-11-16 11:59:00,1574.6591666666666,46,2888130.6699999995,32.49761206749462,1.0601521087808252
15159.0,18641.010000000002,30,11441,2010-12-13 15:44:00,2011-12-08 12:05:00,621.3670000000001,47,2906771.6799999992,32.70736307281402,1.0831988937543213
12901.0,17654.54,28,23075,2011-03-14 10:41:00,2011-12-01 10:07:00,630.5192857142857,48,2924426.2199999993,32.90601419276146,1.1062456787278174
12678.0,17628.46,12,10923,2010-12-21 11:00:00,2011-10-28 13:04:00,1469.0383333333332,49,2942054.6799999992,33.10437185724599,1.1292924637013135
14031.0,17286.86,19,5788,2010-12-02 16:34:00,2011-12-02 17:13:00,909.8347368421053,50,2959341.539999999,33.29888579526843,1.1523392486748099
17428.0,17256.85,28,9474,2010-12-06 09:37:00,2011-12-09 09:45:00,616.3160714285714,51,2976598.389999999,33.49306205697024,1.175386033648306
13767.0,17220.36,37,7322,2010-12-01 10:47:00,2011-12-07 15:00:00,465.41513513513513,52,2993818.749999999,33.686827728570755,1.1984328186218023
13881.0,17159.52,20,10118,2011-02-01 10:14:00,2011-12-06 12:50:00,857.976,53,3010978.269999999,33.87990882078616,1.2214796035952986
16839.0,16594.35,34,8975,2010-12-05 11:15:00,2011-12-01 09:03:00,488.06911764705876,54,3027572.619999999,34.06663054858536,1.2445263885687947
12921.0,16587.09,37,9526,2010-12-01 15:06:00,2011-11-30 16:22:00,448.29972972972973,55,3044159.709999999,34.253270585945096,1.2675731735422908
17677.0,16345.38,30,9772,2010-12-06 08:42:00,2011-12-08 09:56:00,544.846,56,3060505.089999999,34.43719087177337,1.290619958515787
15189.0,16225.39,41,6149,2011-01-11 12:29:00,2011-12-08 13:22:00,395.74121951219513,57,3076730.479999999,34.619761014925444,1.3136667434892833
14607.0,16209.5,14,11526,2011-03-23 15:22:00,2011-11-24 10:35:00,1157.8214285714287,58,3092939.979999999,34.802152361785126,1.3367135284627794
15856.0,16143.64,27,10866,2010-12-09 13:34:00,2011-12-05 17:09:00,597.9125925925925,59,3109083.619999999,34.98380264358394,1.3597603134362757
14051.0,15610.390000000001,23,3756,2010-12-08 12:49:00,2011-12-09 10:20:00,678.7126086956522,60,3124694.0099999993,35.159452728849054,1.3828070984097718
15513.0,14758.220000000001,19,5709,2010-12-01 11:22:00,2011-11-06 14:36:00,776.7484210526317,61,3139452.2299999995,35.325514089350705,1.405853883383268
16133.0,14589.04,33,8888,2011-01-25 15:55:00,2011-12-06 11:24:00,442.09212121212124,62,3154041.2699999996,35.48967181506647,1.4289006683567642
14866.0,14389.9,12,6752,2010-12-08 14:58:00,2011-11-29 11:45:00,1199.1583333333333,63,3168431.1699999995,35.65158879228207,1.4519474533302605
16705.0,14034.99,20,5476,2010-12-16 10:51:00,2011-12-09 12:08:00,701.7495,64,3182466.1599999997,35.80951227722991,1.4749942383037566
12681.0,13787.54,22,7536,2010-12-07 10:08:00,2011-11-25 11:33:00,626.7063636363637,65,3196253.6999999997,35.96465142343935,1.4980410232772527
12621.0,13689.67,20,7440,2010-12-09 10:16:00,2011-12-08 11:25:00,684.4835,66,3209943.3699999996,36.11868932401398,1.521087808250749
12540.0,13400.24,17,6685,2010-12-13 09:39:00,2011-11-20 11:31:00,788.2494117647059,67,3223343.61,36.26947052157362,1.5441345932242452
12433.0,13375.87,7,11071,2010-12-01 13:24:00,2011-12-09 10:02:00,1910.8385714285716,68,3236719.48,36.419977504806916,1.5671813781977413
15498.0,13316.4,27,6105,2010-12-08 12:29:00,2011-12-07 12:48:00,493.2,69,3250035.88,36.5698153240686,1.5902281631712378
12477.0,13219.74,6,3653,2011-02-11 12:45:00,2011-11-17 09:51:00,2203.29,70,3263255.62,36.718565512768734,1.613274948144734
17735.0,13110.02,19,8439,2010-12-07 10:32:00,2011-12-07 16:47:00,690.001052631579,71,3276365.64,36.86608111813332,1.63632173311823
16525.0,13027.45,26,7397,2010-12-08 11:31:00,2011-12-07 15:07:00,501.0557692307693,72,3289393.0900000003,37.0126676354008,1.6593685180917261
14258.0,12669.98,9,7100,2011-01-06 12:18:00,2011-11-30 15:27:00,1407.7755555555555,73,3302063.0700000003,37.15523185495633,1.6824153030652225
13078.0,12627.94,26,5630,2010-12-08 09:07:00,2011-12-06 15:36:00,485.69,74,3314691.0100000002,37.297323035107674,1.7054620880387186
12536.0,12601.830000000002,3,2803,2011-10-11 14:52:00,2011-10-27 14:20:00,4200.610000000001,75,3327292.8400000003,37.43912042223231,1.7285088730122147
15640.0,12416.11,15,6572,2010-12-02 15:40:00,2011-12-05 14:35:00,827.7406666666667,76,3339708.95,37.57882806439634,1.7515556579857108
16000.0,12393.7,3,5110,2011-12-07 12:14:00,2011-12-07 12:17:00,4131.233333333334,77,3352102.6500000004,37.718283546402255,1.7746024429592073
17340.0,12353.29,11,5967,2010-12-08 15:56:00,2011-11-10 10:45:00,1123.0263636363636,78,3364455.9400000004,37.857284329970426,1.7976492279327034
12682.0,12279.82,31,5555,2010-12-03 13:59:00,2011-12-06 10:00:00,396.1232258064516,79,3376735.7600000002,37.99545841979395,1.8206960129061995
13113.0,12245.960000000001,24,3050,2010-12-08 13:21:00,2011-12-09 12:49:00,510.2483333333334,80,3388981.72,38.13325151260926,1.8437427978796959
14606.0,12076.15,93,6187,2010-12-01 16:57:00,2011-12-08 19:28:00,129.8510752688172,81,3401057.87,38.26913388179891,1.866789582853192
12557.0,11990.960000000001,5,4384,2010-12-03 12:20:00,2011-11-23 16:59:00,2398.192,82,3413048.83,38.40405768231962,1.889836367826688
12939.0,11581.8,8,4876,2011-01-09 11:20:00,2011-10-06 14:33:00,1447.725,83,3424630.63,38.534377562702076,1.9128831528001842
15125.0,11528.48,15,6193,2011-03-14 09:59:00,2011-11-14 13:57:00,768.5653333333333,84,3436159.11,38.6640974796918,1.9359299377736807
14194.0,11349.52,21,5840,2011-02-04 14:51:00,2011-12-05 10:38:00,540.4533333333334,85,3447508.63,38.79180371609705,1.9589767227471768
12971.0,11189.91,86,9289,2010-12-02 16:42:00,2011-12-06 12:20:00,130.11523255813952,86,3458698.54,38.91771400056842,1.982023507720673
14895.0,11138.710000000001,20,4851,2011-02-22 13:08:00,2011-12-02 09:23:00,556.9355,87,3469837.25,39.04304817615554,2.005070292694169
12409.0,11072.67,3,5551,2011-06-10 12:19:00,2011-09-22 10:38:00,3690.89,88,3480909.92,39.16763926129899,2.0281170776676656
17581.0,11025.24,25,5915,2010-12-02 14:47:00,2011-12-09 12:21:00,441.0096,89,3491935.16,39.29169665807565,2.0511638626411615
15482.0,10879.76,12,5004,2010-12-16 10:08:00,2011-11-24 10:46:00,906.6466666666666,90,3502814.92,39.41411709546792,2.074210647614658
13319.0,10845.550000000001,26,4724,2010-12-09 10:04:00,2011-12-04 13:34:00,417.1365384615385,91,3513660.4699999997,39.536152597607646,2.0972574325881537
17107.0,10797.48,6,4826,2011-03-06 15:17:00,2011-11-06 14:14:00,1799.58,92,3524457.9499999997,39.65764721001953,2.1203042175616504
13340.0,10736.48,7,5770,2011-03-08 11:39:00,2011-10-25 13:15:00,1533.782857142857,93,3535194.4299999997,39.778455442706054,2.1433510025351463
17139.0,10650.77,12,5176,2011-02-24 09:32:00,2011-11-24 10:12:00,887.5641666666667,94,3545845.1999999997,39.89829925561778,2.1663977875086426
16779.0,10611.720000000001,22,5301,2010-12-08 09:56:00,2011-12-07 14:54:00,482.35090909090917,95,3556456.92,40.017703672984005,2.189444572482139
17865.0,10526.32,20,5757,2010-12-10 14:53:00,2011-11-09 12:08:00,526.316,96,3566983.2399999998,40.13614715873471,2.212491357455635
17706.0,10504.49,17,3899,2010-12-08 11:02:00,2011-12-05 13:34:00,617.9111764705882,97,3577487.73,40.25434501056074,2.235538142429131
15251.0,10484.99,11,6171,2011-04-12 10:38:00,2011-11-30 15:02:00,953.180909090909,98,3587972.72,40.37232344591719,2.258584927402627
14062.0,10464.85,12,5593,2010-12-10 15:56:00,2011-11-30 10:04:00,872.0708333333333,99,3598437.5700000003,40.49007526344299,2.281631712376124
14769.0,10416.98,8,7239,2010-12-17 11:40:00,2011-12-07 10:24:00,1302.1225,100,3608854.5500000003,40.607288441666284,2.3046784973496197
15615.0,10399.74,23,5508,2010-12-15 16:21:00,2011-11-29 14:42:00,452.1626086956522,101,3619254.2900000005,40.7243076332262,2.327725282323116
15502.0,10384.93,12,4236,2010-12-05 15:40:00,2011-11-24 12:48:00,865.4108333333334,102,3629639.2200000007,40.8411601807905,2.350772067296612
16180.0,10254.18,8,5867,2011-04-01 10:23:00,2011-08-31 16:28:00,1281.7725,103,3639893.400000001,40.956541512795916,2.3738188522701082
16843.0,10196.57,16,10159,2011-01-16 16:10:00,2011-10-28 09:06:00,637.285625,104,3650089.9700000007,41.07127460978527,2.3968656372436046
12590.0,9864.26,2,4283,2011-05-12 14:46:00,2011-05-12 14:52:00,4932.13,105,3659954.2300000004,41.18226851256907,2.4199124222171005
13199.0,9817.12,38,6176,2010-12-08 10:51:00,2011-12-06 12:30:00,258.34526315789475,106,3669771.3500000006,41.29273199010281,2.4429592071905972
13001.0,9785.970000000001,13,5490,2011-01-17 12:45:00,2011-12-05 14:51:00,752.7669230769231,107,3679557.3200000008,41.402844963891546,2.466005992164093
15078.0,9743.11,32,5105,2010-12-06 12:38:00,2011-12-02 15:41:00,304.4721875,108,3689300.4300000006,41.51247567153224,2.4890527771375894
12709.0,9706.52,15,3912,2010-12-08 09:49:00,2011-11-24 15:38:00,647.1013333333334,109,3699006.9500000007,41.621694663858996,2.5120995621110853
