Description,Total_Revenue,Total_Quantity,Transaction_Count,Avg_Price,ASP,Product_Type
 4 PURPLE FLOCK DINNER CANDLES,285.7,142,38,2.45051282051282,2.0119718309859156,⚠️ Rationalization Candidate
 50'S CHRISTMAS GIFT BAG LARGE,2343.63,1915,129,1.4265891472868217,1.223827676240209,⭐ Core Product
 DOLLY GIRL BEAKER,2886.25,2451,174,1.5064204545454545,1.177580579355365,⭐ Core Product
 I LOVE LONDON MINI BACKPACK,1624.02,388,86,4.616666666666667,4.185618556701031,⭐ Core Product
 I LOVE LONDON MINI RUCKSACK,4.15,1,1,4.15,4.15,⚠️ Rationalization Candidate
 NINE DRAWER OFFICE TIDY,894.42,58,33,16.09060606060606,15.42103448275862,💎 Premium Product
 OVAL WALL MIRROR DIAMANTE ,2391.12,237,157,10.706305732484076,10.089113924050633,💎 Premium Product
 RED SPOT GIFT BAG LARGE,2089.92,1713,103,1.3771844660194175,1.2200350262697024,⭐ Core Product
 SET 2 TEA TOWELS I LOVE LONDON ,8082.05,2783,269,3.557846715328467,2.9040783327344593,⭐ Core Product
 SPACEBOY BABY GIFT SET,7741.749999999999,498,184,15.913423913043477,15.545682730923692,⭐ Core Product
 TOADSTOOL BEDSIDE LIGHT ,17.9,2,1,8.95,8.95,⚠️ Rationalization Candidate
 TRELLIS COAT RACK,1118.6100000000001,227,56,5.844035087719298,4.9277973568281945,💎 Premium Product
*Boombox Ipod Classic,16.98,1,1,16.98,16.98,⚠️ Rationalization Candidate
*USB Office Mirror Ball,16.94,2,2,8.47,8.47,⚠️ Rationalization Candidate
10 COLOUR SPACEBOY PEN,5585.45,6564,318,1.0559561128526644,0.8509216940889701,⭐ Core Product
12 COLOURED PARTY BALLOONS,1398.51,2134,163,0.7042771084337349,0.6553467666354265,⭐ Core Product
12 DAISY PEGS IN WOOD BOX,592.6199999999999,344,77,1.9166666666666667,1.7227325581395345,⚠️ Rationalization Candidate
12 EGG HOUSE PAINTED WOOD,2378.52,149,99,17.214646464646464,15.963221476510068,💎 Premium Product
12 HANGING EGGS HAND PAINTED,83.2,40,7,2.08,2.08,⚠️ Rationalization Candidate
12 IVORY ROSE PEG PLACE SETTINGS,1478.1,969,148,1.7138926174496645,1.5253869969040246,⭐ Core Product
12 MESSAGE CARDS WITH ENVELOPES,2947.87,1733,251,2.0496899224806198,1.7010213502596652,⭐ Core Product
12 PENCIL SMALL TUBE WOODLAND,3210.27,4497,355,0.7885479452054794,0.7138692461641094,⭐ Core Product
12 PENCILS SMALL TUBE RED RETROSPOT,4383.27,6633,362,0.7378688524590163,0.6608276797829037,⭐ Core Product
12 PENCILS SMALL TUBE SKULL,4527.43,6976,355,0.7523415977961433,0.6490008600917432,⭐ Core Product
12 PENCILS TALL TUBE POSY,1166.07,3785,170,0.38602272727272724,0.30807661822985466,⭐ Core Product
12 PENCILS TALL TUBE RED RETROSPOT,2374.81,2737,268,0.9340072202166064,0.8676689806357325,⭐ Core Product
12 PENCILS TALL TUBE SKULLS,1880.6699999999998,2151,256,0.957104247104247,0.874323570432357,⭐ Core Product
12 PENCILS TALL TUBE WOODLAND,1740.57,1974,249,0.96316,0.8817477203647416,⭐ Core Product
12 PINK HEN+CHICKS IN BASKET,104.55,41,14,2.55,2.55,⚠️ Rationalization Candidate
12 PINK ROSE PEG PLACE SETTINGS,267.5,214,21,1.25,1.25,⚠️ Rationalization Candidate
12 RED ROSE PEG PLACE SETTINGS,630.92,449,105,1.5815315315315317,1.4051670378619152,📦 Volume Driver
15 PINK FLUFFY CHICKS IN BOX,29.5,10,7,2.95,2.95,⚠️ Rationalization Candidate
