Month,Admissions,Total_Billing,Avg_Length_of_Stay
2019-05-31,672,17404851.88513743,15.133928571428571
2019-06-30,897,23614191.04125051,15.38907469342252
2019-07-31,950,24632556.54897812,15.90842105263158
2019-08-31,982,24998612.772553492,15.668024439918534
2019-09-30,924,23021967.21007384,15.056277056277056
2019-10-31,990,25736375.16383481,16.17070707070707
2019-11-30,947,24529227.485747084,15.30623020063358
2019-12-31,918,23580622.407818906,15.981481481481481
2020-01-31,939,24284294.472033024,15.778487752928648
2020-02-29,868,21996303.67168491,15.485023041474655
2020-03-31,922,23545718.133166227,15.344902386117136
2020-04-30,907,22878256.648301665,16.065049614112457
2020-05-31,968,24781408.53680978,16.0
2020-06-30,923,24050073.96192107,15.98699891657638
2020-07-31,1000,24812785.32418176,15.386
2020-08-31,1002,25579030.8423342,15.338323353293413
2020-09-30,898,22344214.39689089,14.782850779510023
2020-10-31,948,23745756.208006322,15.084388185654008
2020-11-30,899,22788488.886503275,15.621802002224694
2020-12-31,883,23153282.453694627,15.680634201585503
2021-01-31,921,23528671.379357632,15.77198697068404
2021-02-28,825,21146741.494628035,15.376969696969697
2021-03-31,949,24747976.838106766,14.873551106427819
2021-04-30,859,22141567.584637184,15.922002328288707
2021-05-31,893,22359728.416895635,15.114221724524077
2021-06-30,914,23859289.746413387,15.971553610503282
2021-07-31,965,24840714.31398829,15.50259067357513
2021-08-31,886,22630013.82988662,16.072234762979683
2021-09-30,858,21615416.89036839,14.743589743589743
2021-10-31,884,23694544.584002763,15.110859728506787
2021-11-30,899,23076691.993931007,15.588431590656285
2021-12-31,942,23545220.802789323,15.307855626326964
2022-01-31,959,24514823.35744954,15.288842544316998
2022-02-28,770,19116118.720801327,15.023376623376624
2022-03-31,929,24017744.945971277,15.459634015069968
2022-04-30,869,22336899.137243923,15.158803222094361
2022-05-31,884,22627046.501165513,15.695701357466064
2022-06-30,956,24170073.247270826,14.782426778242678
2022-07-31,934,24172729.03076876,15.428265524625267
2022-08-31,946,23758453.216501098,15.698731501057082
2022-09-30,910,23401530.551065452,15.637362637362637
2022-10-31,900,23222314.591287877,15.11
2022-11-30,884,23298949.07783165,15.108597285067873
2022-12-31,950,23988902.238412987,15.789473684210526
2023-01-31,924,24066197.09578874,15.568181818181818
2023-02-28,871,22216530.114885416,15.531572904707232
2023-03-31,910,22271257.38014876,15.736263736263735
2023-04-30,892,22846414.13900579,15.545964125560538
2023-05-31,918,22734281.72631288,15.437908496732026
2023-06-30,950,24795001.561728694,15.46
2023-07-31,913,22969552.110566422,15.351588170865279
2023-08-31,961,24617319.177552283,15.50156087408949
2023-09-30,913,23465274.241728533,15.796276013143483
2023-10-31,883,23627441.818657346,15.272933182332956
2023-11-30,872,22290858.370774057,15.702981651376147
2023-12-31,911,23780825.971558604,15.024149286498353
2024-01-31,903,23330536.26875254,15.509413067552602
2024-02-29,865,22234241.116155475,15.465895953757226
2024-03-31,900,22779057.617248572,15.988888888888889
2024-04-30,939,23408072.641976204,16.193823216187432
2024-05-31,212,5398559.417596182,14.93867924528302
